Title,Description,Price,Image URLs
Teal Blue Low Rise Short Cotton Shorts,,"₹3,140","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-low-rise-short-cotton-shorts-short-shorts-543892_200x.jpg?v=1625993203,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-low-rise-short-cotton-shorts-short-shorts-543892_300x.jpg?v=1625993203,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-low-rise-short-cotton-shorts-short-shorts-543892_400x.jpg?v=1625993203,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-low-rise-short-cotton-shorts-short-shorts-543892_600x.jpg?v=1625993203,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-low-rise-short-cotton-shorts-short-shorts-543892_800x.jpg?v=1625993203,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-low-rise-short-cotton-shorts-short-shorts-543892_900x.jpg?v=1625993203,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-low-rise-short-cotton-shorts-short-shorts-543892_1000x.jpg?v=1625993203,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-low-rise-short-cotton-shorts-short-shorts-543892_1200x.jpg?v=1625993203"
Purple Flannel Convertible Pant Shorts,,"₹4,630","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/purple-flannel-convertible-pant-shorts-pant-shorts-841678_200x.jpg?v=1611242402,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/purple-flannel-convertible-pant-shorts-pant-shorts-841678_300x.jpg?v=1611242402,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/purple-flannel-convertible-pant-shorts-pant-shorts-841678_400x.jpg?v=1611242402,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/purple-flannel-convertible-pant-shorts-pant-shorts-841678_600x.jpg?v=1611242402,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/purple-flannel-convertible-pant-shorts-pant-shorts-841678_800x.jpg?v=1611242402,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/purple-flannel-convertible-pant-shorts-pant-shorts-841678_900x.jpg?v=1611242402,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/purple-flannel-convertible-pant-shorts-pant-shorts-841678_1000x.jpg?v=1611242402,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/purple-flannel-convertible-pant-shorts-pant-shorts-841678_1200x.jpg?v=1611242402"
Breezy Handspun Cotton Checks Shorts,Handspun Handwoven,"₹3,200","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/breezy-handspun-short-shorts-short-shorts-555500_200x.jpg?v=1626172136,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/breezy-handspun-short-shorts-short-shorts-555500_300x.jpg?v=1626172136,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/breezy-handspun-short-shorts-short-shorts-555500_400x.jpg?v=1626172136,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/breezy-handspun-short-shorts-short-shorts-555500_600x.jpg?v=1626172136,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/breezy-handspun-short-shorts-short-shorts-555500_800x.jpg?v=1626172136,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/breezy-handspun-short-shorts-short-shorts-555500_900x.jpg?v=1626172136,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/breezy-handspun-short-shorts-short-shorts-555500_1000x.jpg?v=1626172136,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/breezy-handspun-short-shorts-short-shorts-555500_1200x.jpg?v=1626172136"
Violet Striped Mangalgiri Cotton Shorts,,"₹3,440","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-544081_200x.jpg?v=1625991042,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-544081_300x.jpg?v=1625991042,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-544081_400x.jpg?v=1625991042,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-544081_600x.jpg?v=1625991042,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-544081_800x.jpg?v=1625991042,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-544081_900x.jpg?v=1625991042,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-544081_1000x.jpg?v=1625991042,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-544081_1200x.jpg?v=1625991042"
Navy Blue Striped Paneled Shorts,,"₹2,580","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/navy-blue-striped-paneled-shorts-paneled-shorts-643629_200x.jpg?v=1611241305,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/navy-blue-striped-paneled-shorts-paneled-shorts-643629_300x.jpg?v=1611241305,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/navy-blue-striped-paneled-shorts-paneled-shorts-643629_400x.jpg?v=1611241305,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/navy-blue-striped-paneled-shorts-paneled-shorts-643629_600x.jpg?v=1611241305,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/navy-blue-striped-paneled-shorts-paneled-shorts-643629_800x.jpg?v=1611241305,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/navy-blue-striped-paneled-shorts-paneled-shorts-643629_900x.jpg?v=1611241305,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/navy-blue-striped-paneled-shorts-paneled-shorts-643629_1000x.jpg?v=1611241305,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/navy-blue-striped-paneled-shorts-paneled-shorts-643629_1200x.jpg?v=1611241305"
Teal Blue Comfort Fit Short Shorts,,"₹1,900","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-comfort-fit-short-shorts-short-shorts-293275_200x.jpg?v=1611244484,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-comfort-fit-short-shorts-short-shorts-293275_300x.jpg?v=1611244484,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-comfort-fit-short-shorts-short-shorts-293275_400x.jpg?v=1611244484,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-comfort-fit-short-shorts-short-shorts-293275_600x.jpg?v=1611244484,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-comfort-fit-short-shorts-short-shorts-293275_800x.jpg?v=1611244484,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-comfort-fit-short-shorts-short-shorts-293275_900x.jpg?v=1611244484,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-comfort-fit-short-shorts-short-shorts-293275_1000x.jpg?v=1611244484,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-comfort-fit-short-shorts-short-shorts-293275_1200x.jpg?v=1611244484"
Pink Flannel Convertible Pant Shorts,,"₹4,630","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/convertible-pink-flannel-pant-shorts-straight-shorts-350128_200x.jpg?v=1625989303,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/convertible-pink-flannel-pant-shorts-straight-shorts-350128_300x.jpg?v=1625989303,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/convertible-pink-flannel-pant-shorts-straight-shorts-350128_400x.jpg?v=1625989303,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/convertible-pink-flannel-pant-shorts-straight-shorts-350128_600x.jpg?v=1625989303,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/convertible-pink-flannel-pant-shorts-straight-shorts-350128_800x.jpg?v=1625989303,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/convertible-pink-flannel-pant-shorts-straight-shorts-350128_900x.jpg?v=1625989303,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/convertible-pink-flannel-pant-shorts-straight-shorts-350128_1000x.jpg?v=1625989303,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/convertible-pink-flannel-pant-shorts-straight-shorts-350128_1200x.jpg?v=1625989303"
White Short Crinkled Cotton Shorts,,"₹4,000","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/white-short-crinkled-cotton-shorts-short-shorts-166598_200x.jpg?v=1625993784,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/white-short-crinkled-cotton-shorts-short-shorts-166598_300x.jpg?v=1625993784,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/white-short-crinkled-cotton-shorts-short-shorts-166598_400x.jpg?v=1625993784,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/white-short-crinkled-cotton-shorts-short-shorts-166598_600x.jpg?v=1625993784,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/white-short-crinkled-cotton-shorts-short-shorts-166598_800x.jpg?v=1625993784,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/white-short-crinkled-cotton-shorts-short-shorts-166598_900x.jpg?v=1625993784,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/white-short-crinkled-cotton-shorts-short-shorts-166598_1000x.jpg?v=1625993784,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/white-short-crinkled-cotton-shorts-short-shorts-166598_1200x.jpg?v=1625993784"
Khaki Vegetable Dyed Handspun Short Shorts,Handspun Handwoven,"₹4,670","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-974820_200x.jpg?v=1626083172,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-974820_300x.jpg?v=1626083172,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-974820_400x.jpg?v=1626083172,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-974820_600x.jpg?v=1626083172,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-974820_800x.jpg?v=1626083172,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-974820_900x.jpg?v=1626083172,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-974820_1000x.jpg?v=1626083172,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-974820_1200x.jpg?v=1626083172"
White Mid Rise Paisley Short Shorts,,"₹3,800","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/white-handblock-printed-paisley-short-shorts-short-shorts-554380_200x.jpg?v=1626371001,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/white-handblock-printed-paisley-short-shorts-short-shorts-554380_300x.jpg?v=1626371001,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/white-handblock-printed-paisley-short-shorts-short-shorts-554380_400x.jpg?v=1626371001,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/white-handblock-printed-paisley-short-shorts-short-shorts-554380_600x.jpg?v=1626371001,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/white-handblock-printed-paisley-short-shorts-short-shorts-554380_800x.jpg?v=1626371001,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/white-handblock-printed-paisley-short-shorts-short-shorts-554380_900x.jpg?v=1626371001,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/white-handblock-printed-paisley-short-shorts-short-shorts-554380_1000x.jpg?v=1626371001,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/white-handblock-printed-paisley-short-shorts-short-shorts-554380_1200x.jpg?v=1626371001"
